,mean,mean to nefesh,oni_i_hb,oni_i_nefashot,oni_ii_hb,oni_ii_nefashot,oni_iii_hb,oni_iii_nefashot,oni_iv_hb,oni_iv_nefashot,orech_oni_ii_hb,orech_oni_ii_nefashot
2012,13829.36453,5158.199112,0.19362165,0.234711482,0.204830743,0.244371883,0.180308172,0.231582827,0.172361581,0.222551703,0.23146993,0.278160375
2013,14622.45005,5357.358325,0.186273406,0.217595441,0.195002735,0.225089595,0.171554747,0.21137626,0.161681543,0.201553095,0.23191443,0.273156585
2014,15148.82286,5554.197935,0.187609412,0.220286398,0.202256091,0.232371268,0.179259782,0.217476736,0.168677487,0.209783283,0.236137904,0.286706107
2015,15426.55944,5672.008441,0.19088106,0.216522069,0.20577895,0.230491598,0.179260242,0.216294486,0.166453346,0.202979307,,
2016,15751.2949,5793.341224,0.18502905,0.218812117,0.196368669,0.229295807,0.175801333,0.218799484,0.163517268,0.206567244,0.22728645,0.27149286
2017,16518.26484,5989.957985,0.18352254,0.212072176,0.193423975,0.219138517,0.170580606,0.213584392,0.160224387,0.203816746,0.235902342,0.275364116
